epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.954,1.92821,2.81204,1.66741,0.54038,0.52989,0.52472,0.29259,1.30375,1.53879,1.18077,0.00333031,0.00333031,0.00333031
2,506.141,1.75235,2.06765,1.48069,0.60947,0.4675,0.52807,0.29883,1.43488,1.26458,1.24088,0.0065317,0.0065317,0.0065317
3,743.766,1.77928,1.93843,1.4987,0.56815,0.49149,0.53305,0.26216,1.48815,1.33508,1.25476,0.00960109,0.00960109,0.00960109
4,980.275,1.79323,1.87667,1.51778,0.70075,0.52212,0.56704,0.34605,1.41521,1.28736,1.2251,0.009406,0.009406,0.009406
5,1210.94,1.70154,1.7108,1.45728,0.63051,0.60558,0.64348,0.3674,1.36266,1.1107,1.19052,0.009208,0.009208,0.009208
6,1454.27,1.64763,1.60155,1.41755,0.82308,0.5181,0.58543,0.34989,1.38931,1.05924,1.19615,0.00901,0.00901,0.00901
7,1693.66,1.60287,1.53317,1.38998,0.81538,0.56285,0.65758,0.38089,1.33549,1.00911,1.17097,0.008812,0.008812,0.008812
8,1928.86,1.56952,1.45895,1.36563,0.65474,0.60057,0.64392,0.40069,1.29181,1.02216,1.17834,0.008614,0.008614,0.008614
9,2165.32,1.54494,1.41981,1.34694,0.79624,0.57943,0.65332,0.43284,1.22496,0.89632,1.13318,0.008416,0.008416,0.008416
10,2394.77,1.50777,1.36428,1.32479,0.8508,0.56654,0.65632,0.3972,1.25108,0.96312,1.1172,0.008218,0.008218,0.008218
11,2623.94,1.48766,1.31879,1.30495,0.6914,0.54319,0.63787,0.4019,1.26473,0.96346,1.13774,0.00802,0.00802,0.00802
12,2901.15,1.4582,1.27446,1.2888,0.78487,0.55606,0.65891,0.41713,1.26217,0.96441,1.14766,0.007822,0.007822,0.007822
13,3182.2,1.44251,1.24493,1.2761,0.72685,0.57962,0.64592,0.43373,1.23803,0.95082,1.11564,0.007624,0.007624,0.007624
14,3515.03,1.42434,1.2199,1.26846,0.75982,0.5901,0.67397,0.42208,1.19203,0.86684,1.11342,0.007426,0.007426,0.007426
15,3798.3,1.40335,1.16848,1.2487,0.81777,0.6058,0.6908,0.45167,1.2018,0.85419,1.12444,0.007228,0.007228,0.007228
16,4051.42,1.39375,1.15478,1.24243,0.91336,0.55935,0.66604,0.44184,1.15831,0.8654,1.09821,0.00703,0.00703,0.00703
17,4293.45,1.37041,1.12579,1.22811,0.78355,0.56414,0.62519,0.41007,1.17519,0.87123,1.09847,0.006832,0.006832,0.006832
18,4541.45,1.35284,1.10167,1.22007,0.79624,0.6058,0.65865,0.44207,1.12756,0.81477,1.09354,0.006634,0.006634,0.006634
